Long Lat Source Species stat
87.93128 63.17424 gbif PO pt_nonhy
78.4077 61.0377 gbif PO pt_nonhy
111.857 50.597 gbif PO pt_nonhy
94.9094 66.8338 gbif PO pt_nonhy
80.751912 51.494467 gbif PO pt_nonhy
108.8503 67.9748 gbif PO pt_nonhy
110.8165 49.7696 gbif PO pt_nonhy
89.734071 51.287852 gbif PO pt_nonhy
130.1323 62.4453 gbif PO pt_nonhy
78.5671 60.2073 gbif PO pt_nonhy
34.42 53.26 gbif PA pt_nonhy
27.470593 53.836232 gbif PA pt_nonhy
30.16667 55.18333 gbif PA pt_nonhy
25.83 53.92 gbif PA pt_nonhy
28.18 55.58 gbif PA pt_nonhy
12.46 49.87 gbif PA pt_nonhy
8.186 48.2775 gbif PA pt_nonhy
12.23 47 gbif PA pt_nonhy
24.29 62.4 gbif PA pt_nonhy
29.386882 61.687021 gbif PA pt_nonhy
26.915301 67.148044 gbif PA pt_nonhy
11.63 47.64 gbif PA pt_nonhy
13.595 42.27 gbif PA pt_nonhy
25.333999 54.705516 gbif PA pt_nonhy
23.1688 53.1325 gbif PA pt_nonhy
22.58 50.34 gbif PA pt_nonhy
24.365625 52.805176 gbif PA pt_nonhy
23.03 54.03 gbif PA pt_nonhy
36.617783 55.873889 gbif PA pt_nonhy
30.52 59.3 gbif PA pt_nonhy
25.38 58.24 gbif PA pt_nonhy
25.57 47.58 gbif PA pt_nonhy
23.04556 46.3625 gbif PA pt_nonhy
17.59554 64.46329 gbif PA pt_nonhy
19.14917 48.7325 gbif PA pt_nonhy
13.43478 62.08788 gbif PA pt_nonhy
24.653067 65.968897 gbif PA pt_nonhy
22.593991 61.744717 gbif PA pt_nonhy
26.022892 66.970212 gbif PA pt_nonhy
16.32962 57.33743 gbif PA pt_nonhy
11.386525 60.196583 gbif PA pt_nonhy
24.022036 61.280296 gbif PA pt_nonhy
9.46374 61.04868 gbif PA pt_nonhy
16.51393 59.31848 gbif PA pt_nonhy
14.12977 57.78854 gbif PA pt_nonhy
12.83624 57.50537 gbif PA pt_nonhy
8.89976 46.33447 gbif PA pt_nonhy
14.20938 56.29749 gbif PA pt_nonhy
10.389711 59.825475 gbif PA pt_nonhy
15.65755 61.9178 gbif PA pt_nonhy
27.306656 64.313721 gbif PA pt_nonhy
9.178545 61.048413 gbif PA pt_nonhy
6.73321 45.5361 gbif PA pt_nonhy
12.33046 58.152 gbif PA pt_nonhy
15.42141 59.32091 gbif PA pt_nonhy
15.01709 58.06972 gbif PA pt_nonhy
15.38232 56.23377 gbif PA pt_nonhy
13.817 58.76308 gbif PA pt_nonhy
27.305068 61.339548 gbif PA pt_nonhy
13.03428 61.19533 gbif PA pt_nonhy
18.48951 60.2225 gbif PA pt_nonhy
26.331354 61.445933 gbif PA pt_nonhy
27.826424 62.683401 gbif PA pt_nonhy
8.545776 59.784507 gbif PA pt_nonhy
28.76706 63.392639 gbif PA pt_nonhy
28.197622 65.551601 gbif PA pt_nonhy
13.385219 47.743087 gbif PA pt_nonhy
25.07369 60.248963 gbif PA pt_nonhy
24.701242 61.939881 gbif PA pt_nonhy
13.041592 50.774963 gbif PA pt_nonhy
26.877799 67.946464 gbif PA pt_nonhy
24.181238 68.231471 gbif PA pt_nonhy
24.848661 60.649529 gbif PA pt_nonhy
27.504557 64.407396 gbif PA pt_nonhy
18.20029 59.34712 gbif PA pt_nonhy
16.35564 59.41821 gbif PA pt_nonhy
24.957994 67.650823 gbif PA pt_nonhy
9.936998 46.441367 gbif PA pt_nonhy
29.271119 65.198352 gbif PA pt_nonhy
29.119374 63.827602 gbif PA pt_nonhy
13.06077 58.53182 gbif PA pt_nonhy
26.249316 62.513344 gbif PA pt_nonhy
5.99732 45.27872 gbif PA pt_nonhy
13.78203 59.5486 gbif PA pt_nonhy
22.712812 60.750875 gbif PA pt_nonhy
25.313972 66.955302 gbif PA pt_nonhy
16.31119 59.17067 gbif PA pt_nonhy
28.795176 65.567693 gbif PA pt_nonhy
17.60839 59.78851 gbif PA pt_nonhy
19.91877 63.88012 gbif PA pt_nonhy
14.42113 62.76891 gbif PA pt_nonhy
16.61051 60.80093 gbif PA pt_nonhy
6.09538 46.39248 gbif PA pt_nonhy
15.16888 62.71862 gbif PA pt_nonhy
26.26599 58.8703 gbif PA pt_nonhy
24.148733 48.476082 gbif PA pt_nonhy
13.70153 57.07962 gbif PA pt_nonhy
10.543293 62.873222 gbif PA pt_nonhy
17.4572 61.7222 gbif PA pt_nonhy
17.36315 65.94895 gbif PA pt_nonhy
19.20332 65.7506 gbif PA pt_nonhy
16.354 50.416 gbif PA pt_nonhy
14.82439 63.97671 gbif PA pt_nonhy
37.589454 54.181995 gbif PA pt_nonhy
10.573099 61.032711 gbif PA pt_nonhy
6.66331 44.98454 gbif PA pt_nonhy
15.57952 62.8136 gbif PA pt_nonhy
5.85368 46.63421 gbif PA pt_nonhy
25.876376 60.470376 gbif PA pt_nonhy
12.76373 63.70343 gbif PA pt_nonhy
11.569151 59.027352 gbif PA pt_nonhy
24.569508 62.51665 gbif PA pt_nonhy
7.773371 59.716706 gbif PA pt_nonhy
20.57212 66.85271 gbif PA pt_nonhy
12.74368 59.73754 gbif PA pt_nonhy
29.17963 67.442712 gbif PA pt_nonhy
14.92069 61.79479 gbif PA pt_nonhy
23.04232 60.311715 gbif PA pt_nonhy
25.262811 63.944825 gbif PA pt_nonhy
26.049474 63.90281 gbif PA pt_nonhy
22.302834 62.962135 gbif PA pt_nonhy
13.04 49.32 gbif PA pt_nonhy
27.093862 65.601135 gbif PA pt_nonhy
37.542374 54.996251 gbif PA pt_nonhy
15.58264 58.39186 gbif PA pt_nonhy
28.909408 66.692633 gbif PA pt_nonhy
16.8503 59.75183 gbif PA pt_nonhy
21.40474 65.12032 gbif PA pt_nonhy
24.572633 52.42741 gbif PA pt_nonhy
23.389698 63.986618 gbif PA pt_nonhy
24.07408 60.113923 gbif PA pt_nonhy
27.65765 58.0095 gbif PA pt_nonhy
13.33386 56.42055 gbif PA pt_nonhy
18.65635 57.64189 gbif PA pt_nonhy
17.00431 57.251 gbif PA pt_nonhy
27.800144 66.702174 gbif PA pt_nonhy
13.05 47.39 gbif PA pt_nonhy
15.24 47.89 gbif PA pt_nonhy
16.41407 60.59955 gbif PA pt_nonhy
27.733594 67.509548 gbif PA pt_nonhy
11.747646 61.709851 gbif PA pt_nonhy
11.264164 59.34918 gbif PA pt_nonhy
17.73251 62.54727 gbif PA pt_nonhy
26.037441 64.844659 gbif PA pt_nonhy
17.21165 61.97892 gbif PA pt_nonhy
14.911928 45.599759 gbif PA pt_nonhy
9.38477 47.18199 gbif PA pt_nonhy
20.90674 64.12091 gbif PA pt_nonhy
34.754 53.7427 gbif PA pt_nonhy
22.397639 62.295587 gbif PA pt_nonhy
9.642664 47.899681 gbif PA pt_nonhy
11.023236 63.493736 gbif PA pt_nonhy
13.880805 50.822268 gbif PA pt_nonhy
29.883747 62.952477 gbif PA pt_nonhy
15.25407 61.06875 gbif PA pt_nonhy
16.70672 62.80193 gbif PA pt_nonhy
26.943785 64.802917 gbif PA pt_nonhy
36.150718 54.122426 gbif PA pt_nonhy
9.024496 58.714765 gbif PA pt_nonhy
12.100387 49.923441 gbif PA pt_nonhy
27.025298 61.905216 gbif PA pt_nonhy
13.47 48.92 gbif PA pt_nonhy
10.271313 64.118086 gbif PA pt_nonhy
15.22363 56.78374 gbif PA pt_nonhy
22.300553 60.400774 gbif PA pt_nonhy
27.608232 65.339849 gbif PA pt_nonhy
6.63991 47.14783 gbif PA pt_nonhy
10.238333 62.987045 gbif PA pt_nonhy
26.752833 62.658698 gbif PA pt_nonhy
26.169559 68.038111 gbif PA pt_nonhy
21.589666 56.125849 gbif PA pt_nonhy
22.951787 62.766613 gbif PA pt_nonhy
27.672332 62.338743 gbif PA pt_nonhy
11.62985 59.502832 gbif PA pt_nonhy
20.34649 67.21248 gbif PA pt_nonhy
11.283339 46.015993 gbif PA pt_nonhy
11.208204 50.474944 gbif PA pt_nonhy
16.846 50.2989 gbif PA pt_nonhy
9.515802 59.155668 gbif PA pt_nonhy
25.89371 52.550973 gbif PA pt_nonhy
20.000074 60.292215 gbif PA pt_nonhy
21.226698 62.385027 gbif PA pt_nonhy
24.103198 54.911085 gbif PA pt_nonhy
11.3 47.16 gbif PA pt_nonhy
13.51 47.39 gbif PA pt_nonhy
9.239433 63.049859 gbif PA pt_nonhy
21.61963 66.12927 gbif PA pt_nonhy
6.9747 47.96375 gbif PA pt_nonhy
10.99 47.58 gbif PA pt_nonhy
23.740474 63.078991 gbif PA pt_nonhy
19.05179 65.36422 gbif PA pt_nonhy
10.519992 61.445902 gbif PA pt_nonhy
16.74894 58.23186 gbif PA pt_nonhy
21.69734 67.28198 gbif PA pt_nonhy
21.351469 55.930841 gbif PA pt_nonhy
18.32421 57.34161 gbif PA pt_nonhy
29.576188 61.917024 gbif PA pt_nonhy
7.13884 48.58768 gbif PA pt_nonhy
11.75473 65.101208 gbif PA pt_nonhy
24.624305 64.613403 gbif PA pt_nonhy
29.575391 66.126778 gbif PA pt_nonhy
8.155176 58.253935 gbif PA pt_nonhy
27.834637 60.879622 gbif PA pt_nonhy
18.90222 64.20371 gbif PA pt_nonhy
22.069887 60.989507 gbif PA pt_nonhy
7.19595 44.11291 gbif PA pt_nonhy
14.3652 62.13285 gbif PA pt_nonhy
13.127911 65.836853 gbif PA pt_nonhy
17.37187 64.64422 gbif PA pt_nonhy
8.313252 47.031305 gbif PA pt_nonhy
29.696402 64.123187 gbif PA pt_nonhy
24.09626 66.605622 gbif PA pt_nonhy
6.177535 60.6317 gbif PA pt_nonhy
32.3868 53.0235 gbif PA pt_nonhy
15.10983 59.48231 gbif PA pt_nonhy
29.477399 65.347654 gbif PA pt_nonhy
15.44911 56.17677 gbif PA pt_nonhy
21.69442 68.2297 gbif PA pt_nonhy
30.290621 53.933793 gbif PA pt_nonhy
23.08243 66.48735 gbif PA pt_nonhy
9.612854 61.765323 gbif PA pt_nonhy
13.78806 60.70109 gbif PA pt_nonhy
11.550798 60.461398 gbif PA pt_nonhy
8.208114 48.47488 gbif PA pt_nonhy
12.32282 64.218715 gbif PA pt_nonhy
9.272276 61.813087 gbif PA pt_nonhy
26.027898 60.349141 gbif PA pt_nonhy
21.152982 62.784093 gbif PA pt_nonhy
20.245989 64.681347 gbif PA pt_nonhy
24.648803 58.959225 gbif PA pt_nonhy
7.373542 59.499428 gbif PA pt_nonhy
24.207309 65.817842 gbif PA pt_nonhy
20.97062 49.77724 gbif PA pt_nonhy
7.245718 58.399255 gbif PA pt_nonhy
8.182736 58.597284 gbif PA pt_nonhy
5.43588 44.79256 gbif PA pt_nonhy
26.78973 57.81129 gbif PA pt_nonhy
24.422345 64.53821 gbif PA pt_nonhy
26.59764 59.3307 gbif PA pt_nonhy
30.70077 59.967998 gbif PA pt_nonhy
25.651886 66.223071 gbif PA pt_nonhy
20.91469 66.0048 gbif PA pt_nonhy
22.40672 55.084925 gbif PA pt_nonhy
13.464319 47.433984 gbif PA pt_nonhy
19.84707 65.83973 gbif PA pt_nonhy
10.034015 46.024837 gbif PA pt_nonhy
35.680785 55.450585 gbif PA pt_nonhy
15.47001 63.76217 gbif PA pt_nonhy
30.5156 60.5882 gbif PA pt_nonhy
22.583333 58.95 gbif PA pt_nonhy
26.987991 60.038556 gbif PA pt_nonhy
19.639844 49.253813 gbif PA pt_nonhy
20.475639 48.9664 gbif PA pt_nonhy
14.13668 63.87172 gbif PA pt_nonhy
13.22083 63.27046 gbif PA pt_nonhy
23.847022 63.831139 gbif PA pt_nonhy
7.878279 61.347997 gbif PA pt_nonhy
7.352875 58.65035 gbif PA pt_nonhy
16.75441 63.88314 gbif PA pt_nonhy
24.283812 48.134369 gbif PA pt_nonhy
28.556629 61.146971 gbif PA pt_nonhy
23.232819 49.206455 gbif PA pt_nonhy
21.400485 60.900315 gbif PA pt_nonhy
29.802158 60.189425 gbif PA pt_nonhy
20.515171 54.967495 gbif PA pt_nonhy
7.99022 46.29757 gbif PA pt_nonhy
65.033 63.927 BER PO pt_nonhy
90.049 61.758 BOR PO pt_nonhy
34.42 53.26 BRI PA pt_nonhy
27.5615 53.9045 BY_1 PA pt_nonhy
30.16667 55.18333 BY_2 PA pt_nonhy
25.83 53.92 BY_3 PA pt_nonhy
28.18 55.58 BY_4 PA pt_nonhy
12.80528 50.10833 CZE PA pt_nonhy
8.186 48.2775 DE_1 PA pt_nonhy
12.23 47 DE_2 PA pt_nonhy
60.35 56.5 EKA PO pt_nonhy
92.2 58.453 ENI PO pt_nonhy
24.29 62.4 FI_1 PA pt_nonhy
29.22 61.57 FI_2 PA pt_nonhy
26.686 66.436 FIPA17 PA pt_nonhy
12.262 47.463 GERH PA pt_nonhy
12.262 47 GERL PA pt_nonhy
49.88 67.27 Indigo PO pt_hy
13.595 42.27 ITAH PA pt_nonhy
13.595 41.807 ITAL PA pt_nonhy
65.608 64.696 KAZM PO pt_nonhy
69.253 61.05 KM PO pt_nonhy
92.762 55.985 KRA PO pt_nonhy
25.2797 54.6872 LT PA pt_nonhy
66.087 62.452 OKT PO pt_nonhy
58.5 54.2 PAH PO pt_hy
58.52 55.34 PAL PO pt_hy
23.1688 53.1325 PL_1 PA pt_nonhy
22.58 50.34 PL_2 PA pt_nonhy
23.46 52.42 PL_3 PA pt_nonhy
23.03 54.03 PL_4 PA pt_nonhy
65.909 65.907 PUT PO pt_nonhy
33.15 68.97 R1 PA pt_hy
34.23 63.4 R2 PO pt_hy
43.14 64.45 R20 PO pt_hy
46.54 61.15 R22 PO pt_hy
37.57 59.7 R24 PA pt_hy
42.2 58.24 R27 PA pt_hy
36.58 56.1 R29 PA pt_nonhy
53.1 56.5 R35 PO pt_hy
57.06 60.39 R38 PO pt_hy
30.52 59.3 R5 PA pt_nonhy
25.38 58.24 R8 PA pt_nonhy
25.57 47.58 RO_1 PA pt_nonhy
23.04556 46.3625 RO_2 PA pt_nonhy
18.29 64.75 SEPA15 PA pt_nonhy
58.42 57.14 SHA PO pt_nonhy
19.14917 48.7325 SK PA pt_nonhy
12.923 61.6 SWE_1 PA pt_nonhy
12.923 62.063 SWE_2 PA pt_nonhy
